Word,Sentiment_Score
aalis,-1
aantukin,-4
aaralin,1
aasenso,2
abangan,0
abuso,-4
aktibo,4
alaala,0
alab,1
alaga,1
alagaan,2
alala,0
alamat,4
alinlangan,-4
antala,-2
antayin,0
antok,-1
artista,1
artistahin,2
asawa,0
atensyon,3
ayos,4
babaero,-4
babagsak,-4
babaguhin,4
babalik,3
babasahin,1
bagal,-1
bagalan,-2
bagaman,0
bagay,1
bagsak,-2
bagsakan,-3
baguhan,0
baguhin,2
bahagi,0
bahala,-4
bahasa,4
bahid,-4
baho,-2
bait,4
bakasyon,0
balanse,4
balik,0
balikat,0
balimbing,-4
balita,0
baliw,-4
banat,0
banta,-4
bantay,0
bantayan,3
baon,2
barado,-4
barkada,0
basa,1
basag,-4
basagan,-4
basagulero,-4
basahin,4
basehan,4
basta,-4
bastos,-4
bastusin,-4
basurahan,0
bata,4
batido,4
bawal,-4
bawas,-4
bawasan,-4
bawi,4
bayad,4
bayani,4
bibig,0
bibigay,0
bibigyan,4
bibisita,4
bibo,4
bida,4
bigay,4
bigayan,4
bigla,0
biglaan,0
bigyan,4
bihasa,4
bihira,0
bilib,4
bilis,4
bilisan,4
binabagsak,-4
binabahagi,4
binabanggit,4
binabantayan,4
binabara,-4
binabasa,4
binabasag,-4
binabastos,-4
binabatikus,-4
binabawi,-4
binabayad,4
binabayaran,0
binagsak,-4
binayaran,0
binayayaan,4
binibida,4
binibigay,4
binibigkas,4
binibigla,-4
binibigyan,4
binibilang,4
binigay,4
binigyan,4
binubuhos,4
binusog,4
bistado,-4
bitin,-4
bongga,4
bosing,0
bugnutin,-4
buhat,0
buhatin,0
buhay,4
bukod,0
bulok,-4
bulol,-4
bulsa,0
bumaba,0
bumababa,0
bumabagsak,-4
bumabait,4
bumabalik,0
bumabata,4
bumabawi,4
bumagsak,-4
bumait,4
bumalik,4
bumati,4
bungannga,0
bungisngis,-4
busog,4
butas,0
butihin,4
butil,0
dagdag,4
dagdagan,4
dahandahan,4
dakila,4
dalasan,4
dalubhasa,4
damay,0
damdamin,4
dami,4
damihan,4
damit,4
damot,-4
darating,4
deretsahan,0
diretso,4
diskarte,4
gabay,4
gagalingan,4
gaganahan,4
gaganap,4
gagawa,4
gagawin,4
gagayahin,0
galaw,0
galing,4
galingan,4
galit,-4
galitin,-4
gamit,4
gamitin,4
gana,4
ganado,4
ganahan,4
ganda,4
gandahan,4
gastos,-4
gawa,4
gawain,4
gawi,4
ginagabayan,4
ginagamit,4
ginagamitan,4
ginagampanan,4
ginagaya,0
gulatin,-4
gulo,-4
gumagaling,4
gumagamit,4
gumaganda,4
gumagawa,4
gumagawa,4
gumaling,4
gumamit,4
gumana,4
gumanda,4
gumapang,4
gumastos,-4
gumising,4
gupit,0
guro,4
gwapo,4
haba,0
habaan,4
halaga,4
halata,0
halimaw,-4
halimbawa,4
halughugin,-4
hanap,4
handa,4
hanep,4
hanga,4
hangaan,4
hangarin,4
hangin,4
hango,0
hapon,4
harap,4
harapan,4
hawak,4
hawakan,4
hayaan,0
higit,4
hilaw,-4
hilig,4
hilo,-4
hiluin,-4
hina,-4
hinaan,0
hinabol,0
hinahabol,0
hinahanap,4
hinahangaan,4
hinaharap,4
hinaing,-4
hinanakit,-4
hinasa,4
hinay,0
hinihikayat,4
hinihingi,0
hinirang,4
hirap,-4
hirapan,-4
hirit,4
hukayin,0
huli,0
hulihan,0
humaba,4
humabol,0
humahabol,0
humahanga,4
humahawak,4
humangin,4
humarap,4
humawak,4
ibabago,4
ibabagsak,-4
ibabalik,0
ibagay,4
ibagsak,-4
ibahagi,4
ibahan,4
ibahin,4
ibalik,4
ibebenta,0
ibibigay,4
ibinabahagi,4
ibinahagi,4
ibinibida,4
ibinibigay,4
ibinigay,4
ibinuhos,4
idamay,0
ideya,4
igagaling,4
igalang,4
igihan,4
ihiwalay,0
iintindi,4
iintindihin,4
iisa,0
iisipin,4
ikabahala,-4
ikabubuti,4
ikagagaling,4
ikinagagalak,4
ikinokonsidera,4
ilangan,-4
imahe,4
impormasyon,4
importante,4
inaabuso,-4
inaalagaan,4
inaalala,4
inaamin,4
inaantok,-4
inaasahan,4
inaasikaso,4
inaatupag,4
ingat,4
ingay,-4
iniisa,4
iniisip,4
iniiwan,-4
inilalahad,4
inis,-4
init,-4
inspirasyon,4
insulto,-4
interesado,4
intindi,4
intindihin,4
inulit,4
inuubos,-4
inuulit,4
inuunawa,4
ipaalam,4
ipaasa,0
ipabatid,4
ipagawa,4
ipagdarasal,4
ipagdasal,4
ipagmalaki,4
ipagpaloy,0
ipagpatuloy,4
ipahiwatig,4
ipahiya,-4
ipaintindi,4
ipakita,4
ipaliwanag,4
ipantay,4
ipapagawa,4
ipapahiya,-4
ipapalit,4
ipapaliwanag,4
ipinagmamalaki,4
ipinakita,4
ipinaliliwanag,4
ipinamahagi,4
ipinapaintindi,4
ipinapakita,4
ipinapaliwanag,4
ipipilit,-4
irespeto,4
iresponsible,-4
iringan,-4
isarili,-4
isasagot,4
isauli,4
isinali,4
isinasama,4
isinusulat,4
isip,4
isipan,4
isipin,4
isplika,4
isusulat,4
itama,4
itanong,4
itatagalog,4
itatanong,4
itinulong,4
itinuro,4
itinuturing,4
itinuturo,4
ititigil,0
itsura,4
itulad,4
ituloy,4
ituro,4
itutuloy,4
ituturo,4
iugnay,4
iwan,4
iwas,4
iwasan,4
iyak,0
kaagad,4
kaakibat,4
kaalaman,4
kaantok,-4
kaasar,-4
kaayaaya,4
kaayusan,4
kabagot,-4
kabahan,-4
kabaitan,4
kabaliwan,-4
kabastusan,-4
kabilisan,4
kabisado,4
kaboring,-4
kabutihan,4
kadalasan,0
kadami,4
kadena,0
kagaling,4
kagalingan,4
kagamitan,4
kaganapan,4
kaganda,4
kagandahan,4
kagaya,4
kagulo,-4
kagwapuhan,4
kahalagahan,4
kahangaan,4
kaharap,4
kahawig,4
kahinaan,-4
kahiya,-4
kahusayan,4
kaibigan,4
kailangan,4
kaingayan,-4
kainis,-4
kainit,0
kaisa,4
kaistrikto,0
kaiyak,0
kakaantok,-4
kakabilib,4
kakagutom,-4
kakahiya,-4
kakaiba,0
kakailanganin,4
kakaingay,-4
kakainggit,-4
kakairita,-4
kakaiyak,-4
kakakwento,4
kakalito,-4
kakapagod,-4
kakasawa,-4
kakatakot,-4
kakatamad,-4
kakatawa,4
kakatuwa,4
kakayahan,4
kakayanan,4
kakornihan,-4
kakulit,-4
kakulitan,-4
kalagayan,0
kalagitnaan,0
kalahati,4
kalakasan,4
kalalim,4
kalbo,4
kalidad,4
kalilimutan,-4
kalimutan,-4
kalinga,4
kalinisan,4
kalma,4
kalmado,4
kalog,4
kaloka,-4
kalokohan,-4
kaluluwa,0
kalusugan,4
kamahal,4
kamot,0
kampante,4
kamukha,4
kantyaw,4
kapagod,-4
kapakanan,4
kapal,4
kapasidad,4
kapatid,4
kapreskohan,-4
karanasan,4
karangalan,4
karapatan,4
karunungan,4
kasabay,4
kasalanan,-4
kasali,4
kasama,4
kasanayan,4
kasigla,4
kasiyahan,4
kasungitan,-4
kasya,4
katabi,4
katakot,-4
katalinuhan,4
katamad,-4
katamaran,-4
katamtaman,0
katangahan,-4
katangian,4
katanungan,4
katapusan,-4
katarayan,-4
katatapos,4
katauhan,4
katawa,4
katiting,4
katunayan,4
katuwa,4
kaugalian,4
kaugnayan,4
kaunti,-4
kausap,0
kausapin,4
kawalan,-4
kawawa,-4
kaway,4
kawilihan,4
kawiliwili,4
kayabangan,-4
kayamanan,4
kembot,0
kengkoy,4
kiliti,4
kinabukasan,4
kinaganda,4
kinakabahan,-4
kinakailangan,4
kinakain,4
kinakatakutan,-4
kinakitaan,4
kinaklaro,4
kinalabasan,4
kinalaman,4
kinalulugdan,4
kinamumuhian,-4
kinaroroonan,0
kinasal,0
kinikilos,4
kinokonekta,4
kinokontra,-4
kinuha,4
kinukuha,4
kinukunsinte,-4
kinukwento,4
klase,4
kolehiyo,4
komedya,4
konsepto,4
konsiderasyon,4
konsolasyon,4
kontento,4
konti,-4
kontrol,4
kontrolin,-4
korni,-4
korona,4
kultura,4
kumain,4
kumakain,4
kumakanta,0
kumikinang,4
kumikindat,4
kumilos,4
kumpara,4
kumplekado,-4
kumpleto,4
kumukuha,4
kumusta,4
kunwari,-4
kupas,-4
kuripot,-4
kurso,4
kuwento,4
kwela,4
kwenta,4
kwento,4
labi,0
labis,0
laway,0
layo,0
layunin,4
liit,0
likas,4
linangin,4
linaw,4
linawan,4
linawin,4
linis,4
lipunan,4
loko,-4
lokohin,-4
lubos,4
lugar,0
lugi,-4
luma,0
lumabas,4
lumalabas,4
lumalayo,0
lumapit,4
lumiliban,-4
lumilipas,0
lumipas,0
lumipat,0
lupit,-4
maaasahan,4
maaayos,4
maabot,4
maabsent,-4
maabuso,-4
maaga,4
maagap,4
maalaga,4
maalalahanin,4
maaliwalas,4
mababa,-4
mabagal,-4
mabait,4
mabangis,-4
mabango,4
mabasa,0
mabasag,-4
mabawasan,-4
mabibingi,-4
mabigat,0
mabigay,0
mabigyan,4
mabilis,4
mabilisan,0
maboring,-4
mabuhay,4
mabulol,-4
mabunga,4
mabusisi,0
mabuti,4
madadali,0
madalang,0
madalas,0
madaldal,-4
madali,0
madalian,-4
madamot,-4
madisiplina,4
madiskarte,4
madrama,-4
madugo,-4
magagaling,4
magagalit,-4
magagalitin,-4
magagamit,4
magaganda,4
magagawa,4
magahol,-4
magalang,4
magalaw,0
magaling,4
magalit,-4
magalitin,-4
maganda,4
magastos,-4
magbabago,4
magbabasa,4
magbabasakali,-4
magbabayad,4
magbago,4
magbahagi,4
magbalibag,-4
magbasa,4
magbibigay,4
magbigkas,4
magbiro,4
magbitbit,4
magdagdag,4
magdala,4
magdamot,-4
maghabol,4
maghahabol,4
maghahanap,4
maghanap,4
maghandle,4
maghiram,4
magiliw,4
magising,4
magkabuhay,4
magkaiba,4
magkaintindihan,4
magkakadikit,4
magkakapareho,0
magkakasakit,-4
magkamali,-4
magkaroon,4
magkasakit,-4
magkita,4
magklase,4
magkontrol,4
magkopyahan,-4
magkuwento,4
maglaro,4
maglipat,0
magmadali,4
magmamadali,4
magmana,4
magopya,-4
magpaalala,4
magpadala,4
magpaganda,4
magpagawa,4
magpagupit,4
magpagwapo,4
magpahaba,0
magpahinga,4
magpahirap,-4
magpahiya,-4
magpaintindi,4
magpakain,4
magpakita,4
magpalabas,4
magpalakas,4
magpaligaw,-4
magpaliwanag,4
magpapaalam,0
magpapadala,4
magpapahiya,-4
magpapakopya,-4
magpapangiti,4
magpapatawa,4
magparami,4
magparinig,4
magpasa,4
magpasalamat,4
magpasaya,4
magpaseksi,-4
magpasulat,4
magpataba,-4
magpatahimik,4
magpatangkad,4
magpatawa,4
magpatayo,-4
magpatubo,4
magpatuloy,4
magpaturo,4
magpayo,4
magplano,4
magpuna,4
magsabi,4
magsalita,4
magsanay,4
magsasawa,-4
magsawa,-4
magsermon,4
magseryoso,4
magsisimula,4
magsulat,4
magsungit,-4
magtagal,-4
magtagalog,4
magtalakay,4
magtalumpati,4
magtanim,4
magtanong,4
magtawag,4
magturo,4
magulang,0
magulo,-4
magustuhan,4
mahaba,0
mahabol,0
mahahaba,0
mahal,4
mahalaga,4
mahalin,4
mahangin,-4
maharap,4
mahasa,4
mahigpit,4
mahihiling,4
mahihirap,4
mahihirapan,-4
mahihiya,4
mahilig,4
mahilo,-4
mahina,-4
mahinahon,4
mahinay,4
mahinhin,4
mahirap,-4
mahirapan,-4
mahiya,-4
mahubog,4
mahuhubog,4
mahulog,-4
maibibigay,4
maidagdag,4
maidlip,4
maigi,4
maihanda,4
maiiinip,-4
maiingay,-4
maiinip,-4
maiintindihan,4
maiiwan,4
maiiwasan,4
maikli,4
maikokomento,4
mailagay,4
mailalagay,4
mainam,4
maingat,4
maingay,-4
mainggit,-4
mainis,-4
mainit,4
isip,4
mainitin,-4
maintindihin,4
maintintihin,4
maipagpatuloy,4
maipahayag,4
maipakita,4
maipalabas,4
maipaliwanag,4
maiparating,4
mairita,-4
maisapuso,4
maisip,4
maisulat,4
maitatanggi,4
maituro,4
maituturing,4
maiwasan,4
maiyak,-4
makabago,4
makabalik,4
makabawi,4
makabuluhan,4
makadiyos,4
makagawa,4
makahabol,4
makahanap,4
makaintindi,4
makaintindi,4
makakabawi,4
makakabuti,4
makakahabol,4
makakahanap,4
makakalahati,4
makakalimutan,-4
makakalimutin,-4
makakapaglaro,4
makakapagsalita,4
makakasabay,4
makakasagot,4
makakasira,-4
makakasunod,4
makakatalo,-4
makakaya,4
makakuha,4
makalimot,-4
makalimutan,-4
makamandag,-4
makapabuhay,4
makapaghanda,4
makapagpokus,4
makapagtanong,4
makapagtapos,4
makapagtaray,-4
makapagtrabaho,4
makapagturo,4
makapanghihikayat,4
makapangirap,0
makapangyarihan,4
makapanlait,-4
makapasa,4
makaramdam,4
makasabay,4
makasagot,4
makasiwalat,4
makasunod,4
makatao,4
makatotohanan,4
makatulog,4
makaunawa,4
makayanan,4
makibagay,4
makihalubilo,4
makikilala,4
makikinig,4
makikita,4
makikitaan,4
makilala,4
makinig,4
makipagbiro,4
makipagsabayan,4
makipagsalamuha,4
makipagusap,4
makisabay,4
makisama,4
makitungo,4
makuha,4
makukuha,4
makulit,-4
makwela,4
makwento,4
malabo,0
malait,-4
malakas,4
malaki,4
malalalim,4
malalaman,4
malalapitan,4
malalayo,0
malalim,4
malaman,4
malambing,4
malamig,0
malandi,-4
malapit,4
malapitan,4
malasakit,4
malaswa,-4
malawak,4
malayo,0
maldita,-4
maliban,0
maligaya,4
maligo,0
maliit,0
malikhain,4
maliksi,4
maliliit,0
malilimutan,0
malilimutin,-4
malinaw,4
malinawagan,4
malinis,4
malito,-4
maliwanag,4
malulupit,0
malumanay,0
malungkot,-4
malupit,-4
maluwag,0
mamahalin,4
mambagsak,-4
mambasag,-4
mambola,-4
manamit,0
mananatili,4
manatili,4
mandamay,-4
manggugulat,0
manggulat,-4
manglait,-4
mangpahiya,-4
mangurot,-4
maniniwala,4
maniwala,4
manonood,4
manyakis,-4
maokray,-4
mapabago,4
mapadali,4
mapagbigay,4
mapagbiro,4
mapagbiro,4
mapagbuti,4
mapagdasal,4
mapaghandaan,4
mapaghinala,-4
mapagintindi,4
mapagkakatiwalaan,4
mapagmahal,4
mapagmalaki,0
mapagpakumbaba,4
mapagpasensya,4
mapahiya,-4
mapait,-4
mapakinabangan,4
mapalalaki,4
mapalawak,4
mapangasar,-4
mapanghusga,-4
mapanglait,-4
mapangunahan,-4
mapanood,0
mapansin,0
mapapahiya,-4
mapapakinabangan,4
mapapala,0
mapapamahagian,4
mapapansin,4
mapapasa,4
mapapasalamatan,4
mapapasaya,4
maparaan,4
mapasa,4
mapasaya,4
mapasensya,4
mapikon,-4
mapilay,-4
mapilitan,0
maporma,0
maprangka,0
maputol,0
marami,0
maranasan,4
marapat,4
mararanasan,4
marespeto,4
marinig,4
maririnig,4
magturo,0
marunong,4
masabayan,4
masabi,4
masagot,4
masagutan,4
masakit,-4
masaktan,-4
masalita,0
masama,-4
masanay,0
masarap,0
masasabi,0
masasabihan,0
masasagot,0
masasakit,-4
masasama,-4
masasanay,0
masasaya,4
masaya,4
masayahan,4
masayahin,4
masigla,4
masikip,-4
masinsinan,4
masipag,4
masistema,4
masukat,4
masulit,4
masundan,4
masungit,-4
masyado,0
mataas,0
mataas,0
mataba,0
matagal,-4
matago,0
matakot,-4
matalinghaga,4
matalino,4
matamis,4
matamlay,-4
matampuhin,-4
matanda,0
matanggal,0
matangkad,0
matapang,0
matapos,4
mataray,-4
matataas,0
matatag,4
matatakot,-4
matatalino,4
matatawag,4
matatawaran,4
matawa,0
matibay,4
matigas,0
matiisin,4
matimpi,4
matindi,0
matinis,0
matitinag,0
matiyaga,4
matiyak,4
matulad,4
matulog,0
matulungan,4
matulungin,4
matumbok,0
matupad,4
maturo,4
maturuan,4
matuto,4
matutulungan,4
matutumbasan,4
matutunan,4
matutupad,4
matututunan,4
maunawaan,4
maunawain,4
mauto,-4
mauunawaan,4
mawala,-4
mawalan,-4
mawawala,-4
mayaman,0
naaabuso,-4
naaaliw,4
naaantok,-4
naaayon,4
naabot,4
naabuso,-4
naaksaya,-4
naapektuhan,0
naasar,-4
nababagay,4
nababagsak,-4
nababanggit,4
nababara,-4
nababawasan,0
nabago,0
nabagsak,-4
nabaliw,-4
nabasa,0
nabawasan,-4
nabibigay,4
nabibighani,0
nabibitin,-4
nabigyan,4
nabilisan,0
nabubulol,-4
nabubuo,4
nadadagdagan,4
nadadala,0
nadadali,0
nadadamay,0
nadadamihan,0
nadagdagan,4
nadidisiplina,4
naeengganyo,4
nagagahol,-4
nagagalak,4
nagagalit,-4
nagagamit,4
nagagampanan,4
nagaganap,4
nagagastos,-4
nagagawa,4
nagagayak,4
nagaling,4
nagalit,-4
nagamit,4
nagawa,4
nagbabago,0
nagbabasa,0
nagbabayad,0
nagbago,0
nagbayad,0
nagbibigay,4
nagbibiro,0
nagbigay,4
nagdudugo,-4
naghahabol,0
naghihintay,0
naghihirap,-4
naghirap,-4
nagigising,0
nagkakamali,-4
nagkakaroon,4
nagkakatuwaan,4
nagkamali,-4
nagkatampuhan,-4
nagkita,0
nagkukuwento,4
nagkulang,-4
nagkwekwento,4
naglilibot,4
nagmama,0
nagmamadali,0
nagmamagaling,-4
nagmamaganda,-4
nagmumura,-4
nagpaiyak,-4
nagpakalbo,0
nagpalit,0
nagpamalas,0
nagpapaabuso,-4
nagpapababa,0
nagpapagawa,0
nagpapahinga,0
nagpapahirap,0
nagpapahiwatig,0
nagpapahiya,-4
nagpapakita,0
nagpapalabas,0
nagpapalipas,0
nagpapalit,0
nagpapaliwanag,4
nagpapalusot,-4
nagpapanood,4
nagpapansin,-4
nagpaparinig,-4
nagpapasalamat,4
nagpapatawa,0
nagpapatulog,0
nagrereklamo,-4
nagsalita,0
nagsasalita,0
nagsasawa,-4
nagsawa,-4
nagsisikap,4
nagsisimula,0
nagsisinungaling,-4
nagsisisi,4
nagsusulat,4
nagsusungit,-4
nagtaas,0
nagtagal,-4
nagtaka,0
nagtanong,0
nagtataas,0
nagtatagal,0
nagtataglay,4
nagtataka,0
nagtatama,4
nagtatanong,4
nagtitipid,0
nagugulat,-4
naguguluhan,-4
nagulat,-4
nagulo,-4
nagustuhan,0
nagutom,-4
nahawa,-4
nahihila,0
nahihirapan,-4
nahihiya,0
nahikayat,4
nahirapan,-4
nahiya,-4
nahuhuli,0
naibabahagi,4
naibahagi,4
naibibigay,4
naiintidihan,4
naiintindihan,4
naiirita,-4
naiisip,4
naiiwan,0
nailalayo,0
nainis,-4
naipaliwanag,4
naipamahagi,4
naipapahayag,4
naipapaliwanag,4
naipaparating,4
naipon,0
naisaulo,4
naisipan,0
naituturo,4
naiuugnay,4
nakaalalay,4
nakaantok,-4
nakaapekto,0
nakababagot,-4
nakabase,0
nakadepende,0
nakahawak,0
nakakaintindi,4
nakakaalam,4
nakakaalis,0
nakakaaliw,4
nakakaantok,-4
nakakaapekto,0
nakakaasar,-4
nakakabagot,-4
nakakabaliw,-4
nakakabastos,-4
nakakabilib,4
nakakabingi,-4
nakakabitin,-4
nakakabliw,-4
nakakabobo,-4
nakakabuhay,4
nakakadismaya,-4
nakakaengganyo,4
nakakagising,4
nakakagulat,-4
nakakahabol,4
nakakahawa,0
nakakahiya,-4
nakakahikayat,4
nakakahilo,-4
nakakahinga,4
nakakailang,-4
nakakainip,-4
nakakainis,-4
nakakaintindi,4
nakakairita,-4
nakakaiyak,-4
nakakakaba,-4
nakakakilabot,-4
nakakakuha,4
nakakalimot,-4
nakakalimutan,-4
nakakalito,-4
nakakaloka,-4
nakakaloko,-4
nakakalusot,0
nakakapagbigay,4
nakakapagisip,4
nakakapagod,-4
nakakapagtrabaho,4
nakakapasa,4
nakakapikon,-4
nakakapit,0
nakakapulot,0
nakakarinig,0
nakakasabay,4
nakakasakit,-4
nakakasama,-4
nakakasawa,-4
nakakasira,-4
nakakasunod,4
nakakataas,0
nakakatakot,-4
nakakatamad,-4
nakakatawa,0
nakakatulog,0
nakakatulong,4
nakakatuwa,4
nakakaumay,-4
nakakaunawa,4
nakakausap,4
nakakawala,0
nakakawindang,-4
nakalimutan,-4
nakalito,-4
nakalugay,0
nakalulugod,4
nakalunok,0
nakangiti,4
nakapagaling,4
nakapagpatibay,4
nakapagtuturo,4
nakapasok,0
nakapokus,4
nakapresure,-4
nakaraan,0
nakasakit,-4
nakasama,-4
nakasimangot,-4
nakasulat,0
nakakasunod,4
nakatalikod,0
nakatatak,4
nakatayo,0
nakatulong,4
nakatutok,4
nakaupo,0
nakaw,-4
nakaya,0
nakikibagay,4
nakikilahok,4
nakikinig,4
nakikipagbiruan,4
nakikipagkapwa,4
nakikisabay,4
nakikisama,4
nakikita,0
nakikitabi,0
nakilala,0
nakinig,4
nakokonekta,4
nakontento,4
nakuha,4
nakukontrol,0
nakukuha,4
nakukulangan,-4
nakukunsume,-4
nakulob,-4
nalalaman,4
nalalapitan,4
nalibot,0
nalilimutan,-4
nalilito,-4
nalito,-4
naloloka,-4
nalungkot,-4
namahiya,-4
namamahiya,-4
namamalayan,4
namamangha,4
nambabasag,-4
namimigay,4
nanakot,-4
nananakit,-4
nanay,0
nangaasar,-4
nangangailangan,0
nangangamote,-4
nangangapa,-4
nangangarera,0
nanggigisa,-4
nanggigising,4
nanggugulat,-4
nangpapahiya,-4
nangsisiko,-4
nangungupya,-4
naninigaw,-4
naniniwala,4
nanlibre,0
nanloloko,-4
napabihasa,4
napabilib,4
napagaling,4
napagaralan,4
napagbabago,4
napagbubuntunan,-4
napaghahandaan,4
napaghalo,0
napagkakamalan,-4
napahiya,-4
napakaaktibo,4
napakabait,4
napakabait,4
napakabilis,0
napakaboring,-4
napakabuti,4
napakadami,0
napakaedukado,0
napakaepektibo,4
napakagaling,4
napakaganda,4
napakahaba,4
napakahirap,-4
napakahusay,4
napakaistrikto,0
napakalakas,0
napakalaki,0
napakalawak,4
napakalinaw,4
napakarami,0
napakasaya,4
napakasipag,4
napakatamad,-4
napakatyaga,4
napala,0
napapabuti,4
napapadalas,0
napapahiya,-4
napapalawak,4
napapaliwanag,4
napapamahal,4
napapanatili,4
napapansin,0
napapasaya,4
napapasubo,-4
napapatawa,4
napapatitig,0
napatunayan,4
napipikon,-4
napipilit,0
napipilitan,-4
napuno,-4
napupunuhan,0
naranasan,0
nararamdaman,4
nararapat,4
naririnig,4
nasanay,0
nasasabayan,4
nasasagot,4
nasasaktan,-4
nasasali,0
nasasayang,-4
nasisira,-4
nasisiyahan,4
nasobrahan,-4
nasosobrahan,-4
nasugatan,-4
nasusundan,4
nasusunod,4
natalakay,4
natatagalan,-4
natatakot,-4
natatapos,4
natatataranta,-4
natatawa,0
natitiyak,4
natutulog,0
natutulungan,4
natutunan,4
natuturo,4
natuturuan,4
natutuwa,4
nauubos,-4
nauubusan,-4
nauuna,0
nauunawaan,4
nawawala,-4
nawawalan,-4
nerbyos,-4
nilalagay,0
nilalaman,0
nilalang,0
nilalapitan,0
nililito,-4
niloloko,-4
nirerespeto,4
opinyon,0
pabawas,-4
pabaya,-4
pabayaan,-4
paborito,0
padadala,0
padaliin,0
pogi,4
pumipiyok,-4
punyeta,-4
respeto,4
responsable,4
sabog,-4
sakto,4
seryoso,4
sigurado,4
sigurista,4
sindakin,-4
tagalugin,4
tagapagpahayag,4
tagapatnubay,4
tagapayo,4
tahimik,0
taklesa,-4
talino,4
taliwas,-4
tamad,-4
tambay,-4
tiisin,0
tinatamad,-4
tulungan,4
tumaas,0
tumaba,0
tumagal,-4
tumanda,-4
tumulong,4
tumutulong,4
tunay,4
ugali,4
uliran,4
ulyanin,-4
umaabuso,-4
umaapaw,0
umaasa,0
umaaway,-4
umabuso,-4
uso,0
